People Mentioned in the Collected Letters of Robert Southey
"Abbot, Charles"
"Abella, Manuel"
"Acland, Thomas Dyke"
"Adamson, John"
"Adderley, Richard Boyle"
"Aikin, Arthur"
"Aikin, John"
"Allen, Robert"
"Allston, Washington"
"Amyot, Thomas"
"Arrowsmith, Aaron"
"Attersoll, Ann Holmes"
"Awdry, John Wither"
"Baillie, Joanna"
"Baldwin, Robert"
"Ballantyne, James"
"Ballantyne, John"
"Barbauld, Anna Letitia Aikin"
"Barker, Mary"
"Barnes, Frederick"
"Barrington, Charles James"
"Barton, Bernard"
"Beaumont, Margaret Willes"
"Beaumont, George Howland"
"Beddoes, Anna Maria"
"Beddoes, Thomas"
"Bedford, Grosvenor Charles"
"Bedford, Henry"
"Bedford, Horace Walpole"
"Bedford Family"
"Bell, Andrew"
"Bell, John"
"Benson, Christopher"
"Betham, Mary Matilda"
"Biddlecombe, Charles"
"Biggs, Nathaniel"
"Bilderdijk, Willem"
"Bill, Robert"
"Blackwood, William"
"Blakeney, Robert"
"Blomfield, Charles James"
"Bloomfield, Robert"
"Bowles, Caroline"
"Bowles, William Lisle"
"Britton, John"
"Brougham, Henry Peter"
"Browne, Elizabeth"
"Browne, Elizabeth"
"Browne, Sarah"
"Browne, Wade"
"Bruguière, Antoine André"
"Brydges, (Samuel) Egerton"
"Bunbury, Charles John"
"Bunbury, Henry William"
"Bunbury, Henry Edward"
"Burdett, Francis"
"Burnett, George"
"Burney, James"
"Butler, Charles"
"Butler, Eleanor Charlotte"
"Butt, John Marten"
"Byron, George Gordon"
"Cadell, Thomas"
"Calvert, John Mitchinson"
"Calvert, William"
"Campbell, Henry"
"Canning, George"
"Carlisle, Anthony"
"do Cenáculo, Manuel"
"Chantrey, Sir Francis Legatt"
"Charter, Louisa"
"Clarke, Adam"
"Clarkson, Catherine Buck"
"Clarkson, Thomas"
"Clercq, Willem de"
"Cobbett, William"
"Colburn, Henry"
"Coleridge, (David) Hartley"
"Coleridge, Derwent"
"Coleridge, George"
"Coleridge, Henry Nelson"
"Coleridge, John Taylor"
"Coleridge, Samuel Taylor"
"Coleridge, Sara"
"Coleridge, William Hart"
"Collins, Charles"
"Collins, Jeremiah"
"Combe, Edward"
"Conder, Josiah"
"Copleston, Edward"
"Corry, Isaac"
"Cottle, Amos Simon"
"Cottle, Joseph"
"Cottle Family"
"Courtenay, Thomas Peregrine"
"Coxe, William"
"Craufurd, Charles Gregan"
"Croft, Herbert"
"Croker, John Wilson"
"Crothers, "
"Cunningham, Allan"
"D’Israeli, Isaac"
"Dallas, Alexander Robert Charles"
"Dalrymple, Hew Whitefoord"
"Danvers, Charles"
"Danvers, Mrs."
"Dauncey, Louisa"
"Davey, John"
"Davy, Humphry"
"Davy, Jane"
"Dawes, John"
"De Quincey, Thomas"
"Deacon, Kate"
"Deacon Family"
"Dibdin, Thomas Frognall"
"Dodd, James William"
"Dolignon, Elizabeth"
"Douce, Francis"
"Douglas, Howard"
"Doyle, Sir Charles William"
"D’Oyley, Thomas"
"D’Oyly, George"
"Duppa, Richard"
"Dusautoy, James"
"Dyer, George"
"Edmondson, John"
"Edridge, Henry"
"Egerton, Thomas"
"Elliott, Ebenezer"
"Ellis, George"
"Elmsley, Peter"
"Erskine, Henry"
"Estlin, John Prior"
"Estlin, Susanna Bishop"
"Evans, "
"Everett, Edward"
"Everett, James"
"Favell, Samuel"
"Feldborg, Andreas Andersen"
"Fisher, Henry"
"Fletcher, Sarah"
"Flower, Benjamin"
"Fox, Charles James"
"Fox, Elizabeth Vassall"
"Fox, Henry Richard"
"Freeling, Francis"
"Frere, Bartholomew"
"Frere, John Hookham"
"Fricker, Edith"
"Fricker, Eliza"
"Fricker, George"
"Fricker, Martha"
"Fricker, Mary"
"Fricker, Sarah"
"Fricker Family"
"George, Prince Regent; King"
"Gifford, William"
"Gilbert, William"
"Godwin, William"
"Gonne, Mary"
"Gonne, William"
"Gooch, Robert"
"Gooch, Sarah"
"Gooden, James"
"Goodenough, Edmund"
"Grahame, James"
"Grant, Anne"
"Greenough, George Bellas"
"Grenville, William Wyndham"
"Grenville, Thomas"
"Gurney, Joseph John"
"Gutch, John Matthew"
"Guthrie, John"
"Hamond, Elton"
"Harris, John"
"Haslewood, Joseph"
"Hatherton, Lord: Edward John Littleton"
"Haydon, Benjamin Robert"
"Hays, Mary"
"Hazlitt, William"
"Heathcote, William"
"Heber, Reginald"
"Heber, Richard"
"Heraud, Ann Elizabeth"
"Heraud, John Abraham"
"Herries, John Charles"
"Hertford, Lord; Francis Ingram-Seymour-Conway"
"Hill, Alfred"
"Hill, Catherine"
"Hill, Edward"
"Hill, Errol"
"Hill, Georgiana"
"Hill, Herbert"
"Hill, Margaret (known as ‘Peggy’ and"
"Hill, Robert Southey"
"Hill, Thomas"
"Hogg, Edward"
"Hogg, James"
"Holroyd, John Baker"
"Hone, William"
"Hood, Alexander"
"Hook, James"
"Horseman, John"
"How, Thomas"
"Howley, William"
"Hucks, Joseph"
"Hughes, Mary Anne"
"Hughes, Thomas"
"Hunt, James Henry Leigh"
""
"Hutchinson, Sara"
"Inglis, Robert Harry"
"Jackson, Thomas"
"Jackson, William"
"James, Paul Moon"
"Jardine, Alexander"
"Jardine, David"
"Jardine, Ann"
"Jebb, John"
"Jeffrey, Francis"
"Jennings, James"
"Jervis, John"
"Kelly, Montague Henry"
"Kennaway, Charles Edward"
"Kenyon, John"
"Kenyon, George"
"Kidd, John"
"King, John [Nicholas Johann Koenig]"
"King, Emmeline"
"Knighton, William"
"Knowles, Herbert"
"Koster, Henry"
"Koster, John Theodore"
"Koster, Susanna Maria Carrett"
"Laing, David"
"Lamb, Charles"
"Lamb, Mary Anne"
"Lamb, Thomas Davis"
"Lamb, Thomas Phillipps"
"Lancaster, Joseph"
"Landor, Julia Thuillier"
"Landor, Robert Eyres"
"Landor, Walter Savage"
"Latrobe, Christian Ignatius"
"Lawrence, Thomas"
"Le Grice, Samuel"
"Lewis, Richard"
"Lightfoot, John Prideaux"
"Lightfoot, Nicholas"
"Littleton, Edward"
"Liverpool, Lord: Jenkinson"
"Lloyd, Charles"
